version,w,s,i,time (ms)
txact,1,4,15,15996.298
txact,1,4,21,17759.653
txact,1,4,22,16471.013
txact,1,4,23,16733.893
txact,1,4,24,17530.520
txact,1,4,25,18054.637
txact,1,4,31,16614.033
txact,1,4,32,16824.733
txact,1,4,33,18478.536
txact,1,4,34,16905.815
txact,1,4,35,17177.268
txact,1,40,11,14976.198
txact,1,40,12,16040.120
txact,1,40,13,14972.555
txact,1,40,14,15276.497
txact,1,40,15,14861.444
txact,1,40,21,14736.636
txact,1,40,22,15240.667
txact,1,40,23,17500.803
txact,1,40,24,14772.711
txact,1,40,25,16176.689
txact,1,40,31,15344.846
txact,1,40,32,14359.454
txact,1,40,33,15627.570
txact,1,40,34,15767.851
txact,1,40,35,14851.732
txact,1,42,11,14672.268
txact,1,42,12,14971.914
txact,1,42,13,15522.674
txact,1,42,14,16137.252
txact,1,42,15,14563.985
txact,1,42,21,16090.540
txact,1,42,22,16395.789
txact,1,42,23,14855.971
txact,1,42,24,18309.269
txact,1,42,25,15169.271
txact,1,42,31,18090.148
txact,1,42,32,14655.732
txact,1,42,33,15788.990
txact,1,42,34,17084.455
txact,1,42,35,17727.114
txact,1,44,11,14642.579
txact,1,44,12,17974.152
txact,1,44,13,15925.881
txact,1,44,14,17275.082
txact,1,44,15,15634.551
txact,1,44,21,14666.400
txact,1,44,22,17553.512
txact,1,44,23,14518.284
txact,1,44,24,15394.183
txact,1,44,25,18464.814
txact,1,44,31,16629.668
txact,1,44,32,16393.469
txact,1,44,33,14735.195
txact,1,44,34,15465.242
txact,1,44,35,17193.835
txact,1,46,11,16388.962
txact,1,46,12,14724.760
txact,1,46,13,14772.490
txact,1,46,14,15698.132
txact,1,46,15,15403.013
txact,1,46,21,16924.924
txact,1,46,22,14940.452
txact,1,46,23,15406.373
txact,1,46,24,14847.574
txact,1,46,25,17292.924
txact,1,46,31,14826.516
txact,1,46,32,16021.018
txact,1,46,33,15236.481
txact,1,46,34,17533.668
txact,1,46,35,14947.521
txact,1,48,11,17190.939
txact,1,48,12,17454.760
txact,1,48,13,15077.253
txact,1,48,14,16834.817
txact,1,48,15,17908.790
txact,1,48,21,17509.001
txact,1,48,22,17729.220
txact,1,48,23,15407.047
txact,1,48,24,15021.738
txact,1,48,25,14850.715
txact,1,48,31,14861.941
txact,1,48,32,15474.710
txact,1,48,33,15636.848
txact,1,48,34,16444.758
txact,1,48,35,17675.583
txact,1,50,11,16085.421
txact,1,50,12,15089.674
txact,1,50,13,15619.134
